WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
0.05,1,0,2,0.82,93,,,88
0.05,1,0,6,0.82,93,,,198
0.05,1,0,11,0.82,93,,,
0.05,1,0,16,0.82,92,,,
0.05,1,0,21,0.82,92,,,
0.05,1,0,25,0.82,92,,,
0.05,1,0,30,0.82,92,,,
0.05,1,0,35,0.82,92,,,
0.05,1,0,40,0.82,92,,,
0.05,1,0,45,0.82,91,,,
0.05,1,0,2,0.81,93,,,
0.05,1,0,6,0.81,93,,,
0.05,1,0,11,0.81,93,,,
0.05,1,0,16,0.81,93,,,
0.05,1,0,21,0.81,93,,,
0.05,1,0,25,0.81,92,,,
0.05,1,0,30,0.81,92,,,
0.05,1,0,35,0.81,92,,,
0.05,1,0,40,0.81,92,,,
0.05,1,0,45,0.81,92,,,
0.05,1,0,2,0.2,93,,,
0.05,1,0,6,0.2,93,,,
0.05,1,0,11,0.2,93,,,
0.05,1,0,16,0.2,92,,,
0.05,1,0,21,0.2,92,,,
0.05,1,0,25,0.2,93,,,
0.05,1,0,30,0.2,93,,,
0.05,1,0,35,0.2,93,,,
0.05,1,0,40,0.2,93,,,
0.05,1,0,45,0.2,93,,,
0.05,1,0,2,0.26,91,,,
0.05,1,0,6,0.26,91,,,
0.05,1,0,11,0.26,91,,,
0.05,1,0,16,0.26,91,,,
0.05,1,0,21,0.26,91,,,
0.05,1,0,25,0.26,91,,,
0.05,1,0,30,0.26,91,,,
0.05,1,0,35,0.26,91,,,
0.05,1,0,40,0.26,91,,,
0.05,1,0,45,0.26,91,,,
0.05,1,0,2,0.7,92,,,
0.05,1,0,6,0.7,92,,,
0.05,1,0,11,0.7,92,,,
0.05,1,0,16,0.7,92,,,
0.05,1,0,21,0.7,92,,,
0.05,1,0,25,0.7,92,,,
0.05,1,0,30,0.7,91,,,
0.05,1,0,35,0.7,91,,,
0.05,1,0,40,0.7,91,,,
0.05,1,0,45,0.7,91,,,
0.05,1,0,2,0.57,92,,,
0.05,1,0,6,0.57,92,,,
0.05,1,0,11,0.57,92,,,
0.05,1,0,16,0.57,92,,,
0.05,1,0,21,0.57,91,,,
0.05,1,0,25,0.57,91,,,
0.05,1,0,30,0.57,91,,,
0.05,1,0,35,0.57,91,,,
0.05,1,0,40,0.57,91,,,
0.05,1,0,45,0.57,91,,,
0.05,1,0,2,0.57,92,,,
0.05,1,0,6,0.57,92,,,
0.05,1,0,11,0.57,92,,,
0.05,1,0,16,0.57,91,,,
0.05,1,0,21,0.57,91,,,
0.05,1,0,25,0.57,91,,,
0.05,1,0,30,0.57,91,,,
0.05,1,0,35,0.57,91,,,
0.05,1,0,40,0.57,91,,,
0.05,1,0,45,0.57,91,,,
0.05,1,0,2,0.44,91,,,
0.05,1,0,6,0.44,91,,,
0.05,1,0,11,0.44,91,,,
0.05,1,0,16,0.44,91,,,
0.05,1,0,21,0.44,91,,,
0.05,1,0,25,0.44,91,,,
0.05,1,0,30,0.44,91,,,
0.05,1,0,35,0.44,91,,,
0.05,1,0,40,0.44,91,,,
0.05,1,0,45,0.44,91,,,
0.05,1,0,2,0.24,92,,,
0.05,1,0,6,0.24,92,,,
0.05,1,0,11,0.24,92,,,
0.05,1,0,16,0.24,92,,,
0.05,1,0,21,0.24,92,,,
0.05,1,0,25,0.24,92,,,
0.05,1,0,30,0.24,92,,,
0.05,1,0,35,0.24,92,,,
0.05,1,0,40,0.24,92,,,
0.05,1,0,45,0.24,92,,,
0.05,1,0,2,0.72,93,,,
0.05,1,0,6,0.72,93,,,
0.05,1,0,11,0.72,93,,,
0.05,1,0,16,0.72,93,,,
0.05,1,0,21,0.72,92,,,
0.05,1,0,25,0.72,92,,,
0.05,1,0,30,0.72,92,,,
0.05,1,0,35,0.72,92,,,
0.05,1,0,40,0.72,92,,,
0.05,1,0,45,0.72,92,,,
0.05,2,0,2,0.82,93,,,
0.05,2,0,6,0.82,92,,,
0.05,2,0,11,0.82,92,,,
0.05,2,0,16,0.82,92,,,
0.05,2,0,21,0.82,92,,,
