S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
0,0.05,1,0,2,0.37,102,,49,no. of distinct energy values
1,0.05,1,0,7,0.37,102,,102,min
2,0.05,1,0,12,0.37,102,,150,max
3,0.05,1,0,18,0.37,102,,,
4,0.05,1,0,23,0.37,102,,,
5,0.05,1,0,28,0.37,102,,,
6,0.05,1,0,34,0.37,102,,,
7,0.05,1,0,39,0.37,102,,,
8,0.05,1,0,45,0.37,102,,,
17,0.05,1,0,45,0.66,102,,,
19,0.05,1,0,7,0.44,102,,,
20,0.05,1,0,12,0.44,102,,,
21,0.05,1,0,18,0.44,102,,,
22,0.05,1,0,23,0.44,102,,,
23,0.05,1,0,28,0.44,102,,,
24,0.05,1,0,34,0.44,102,,,
25,0.05,1,0,39,0.44,102,,,
26,0.05,1,0,45,0.44,102,,,
27,0.05,1,0,2,0.2,102,,,
28,0.05,1,0,7,0.2,102,,,
29,0.05,1,0,12,0.2,102,,,
30,0.05,1,0,18,0.2,102,,,
31,0.05,1,0,23,0.2,102,,,
32,0.05,1,0,28,0.2,102,,,
33,0.05,1,0,34,0.2,102,,,
34,0.05,1,0,39,0.2,102,,,
35,0.05,1,0,45,0.2,102,,,
53,0.05,1,0,45,0.68,102,,,
60,0.05,1,0,34,0.65,102,,,
61,0.05,1,0,39,0.65,102,,,
62,0.05,1,0,45,0.65,102,,,
63,0.05,1,0,2,0.26,102,,,
64,0.05,1,0,7,0.26,102,,,
65,0.05,1,0,12,0.26,102,,,
66,0.05,1,0,18,0.26,102,,,
67,0.05,1,0,23,0.26,102,,,
68,0.05,1,0,28,0.26,102,,,
69,0.05,1,0,34,0.26,102,,,
70,0.05,1,0,39,0.26,102,,,
71,0.05,1,0,45,0.26,102,,,
79,0.05,1,0,39,0.68,102,,,
80,0.05,1,0,45,0.68,102,,,
83,0.05,1,0,12,0.42,102,,,
84,0.05,1,0,18,0.42,102,,,
85,0.05,1,0,23,0.42,102,,,
86,0.05,1,0,28,0.42,102,,,
87,0.05,1,0,34,0.42,102,,,
